source	target	weight
AARSD1	LAP3	1
AARSD1	MAGEA12	1
AARSD1	MCM5	1
AARSD1	MCM7	1
AARSD1	MLF1	1
AARSD1	MLF2	1
AARSD1	MOS	1
AARSD1	MRPL37	1
AARSD1	NIF3L1	1
AARSD1	NLRP12	1
AARSD1	PARVG	1
AARSD1	PFDN1	1
AARSD1	PFDN5	1
AARSD1	PIWIL2	1
AARSD1	PPP1R12A	1
AARSD1	PPP1R14B	1
AARSD1	PPP2CB	1
AARSD1	PRAME	1
AARSD1	PRKACA	1
AARSD1	PRPF6	1
AARSD1	RAD54L2	1
AARSD1	RAF1	1
AARSD1	RGS11	1
AARSD1	RHOJ	1
AARSD1	RPA1	1
AARSD1	RPA3	1
AARSD1	RPRD1B	1
AARSD1	RPUSD2	1
AARSD1	SBDS	1
AARSD1	SEPT2	1
AARSD1	SEPT8	1
AARSD1	SERPINH1	1
AARSD1	SETDB1	1
AARSD1	SH3GL1	1
AARSD1	SH3GLB1	1
AARSD1	SH3GLB2	1
AARSD1	SIM2	1
AARSD1	SIRT6	1
AARSD1	SKP2	1
AARSD1	SRM	1
AARSD1	STUB1	1
AARSD1	TAT	1
AARSD1	TBCB	1
AARSD1	TDRD9	1
AARSD1	TET3	1
AARSD1	THG1L	1
AARSD1	TLR7	1
AARSD1	TOP3B	1
AARSD1	TP53RK	1
AARSD1	TRIM17	1
AARSD1	TRIM7	1
AARSD1	TRMT10A	1
AARSD1	TSN	1
AARSD1	TSSC1	1
AARSD1	TSSK6	1
AARSD1	TTC1	1
AARSD1	TUBA1A	1
AARSD1	TUBB1	1
AARSD1	TUBB2A	1
AARSD1	TUBB4A	1
AARSD1	UBQLN2	1
AARSD1	USP49	1
AARSD1	VHL	1
AARSD1	WSB2	1
AARSD1	XPO5	1
AARSD1	ZBED4	1
AARSD1	ZC3H7B	1
AARS	DARS	1
AARS	DPP8	1
AARS	DPP9	1
AARS	DTX2	1
AARS	E2F4	1
AARS	EEF1B2	1
AARS	EEF2	1
AARS	EEF2K	1
AARS	EIF3H	1
AARS	EIF3M	1
AARS	EIF4A3	1
AARS	ENO1	1
AARS	ESR1	1
AARS	ETS1	1
AARS	FARSB	1
AARS	FASN	1
AARS	FLNA	1
AARS	FN1	1
AARS	GAPDH	1
AARS	GARS	1
AARS	GNAI2	1
AARS	HIST3H3	1
AARS	HSF1	1
AARS	HSP90AA1	1
AARS	HSP90AB1	1
AARS	HSPA1A	1
AARS	HSPA1B	1
AARS	HSPH1	1
AARS	IARS	1
AARS	IARS2	1
AARS	IPO11	1
AARS	ITGA4	1
AARS	JUN	1
AARS	LARS	1
